sentence	label
我觉得它的发霉面包我从昨晚醒来打嗝发霉的面包，并没有想到它什么，因为我很恶心，我吃了早餐，然后吃了汤和面包和奶油奶酪的百吉饼，然后我吐了整个厨房，很少警告	0
味道真心不错，值得推荐，要了一份菜，这样特别好吃	1
也就那样，不好吃	0
都不错，比较实惠吃起来味道也可以赞下	1
店里干净整洁，米粉真的是没话说，吃完非常舒服，不像很多家的米粉，吃完胃里会很难受	1
食物不错，就是服务太差，点了这么多回就这次很不爽，小菜没有盒子包装还收包装费？说了提供餐具却没有筷子没有勺子送菜的不认识路竟然要我下去接他我勒个去无奈	0
鸡翅很一般五花肉泡菜还不如正一味的一半好吃呢就是送餐速度还不错	0
尚城小区里面，非常方便，环境好，服务态度好	1
真难吃真是太难吃了	0
评论了很多次了，对他们家米粉非常喜爱，口味棒棒哒	1
我是年月日在这里吃过的。我和我的伴侣都只在那里吃了一天，大约小时后生病了。我们分享了洋葱圈，我吃了炸玉米饼，我的伴侣有椰子虾。我向环球汇报了这一点，他们基本上说他们的食物始终都是温度控制的，不可能来自他们。这是来自这家餐厅的。	0
送餐的时间差了多分钟，饭来了上面全是菜汤，差评	0
挺好的经常来吃米粉比较细	1
太慢了，送来都凉了，态度各种差	0
我和我的男朋友在今天月日下午点左右订购了一个汉堡包，现在我们都病得很严重。今天晚上点左右，我们的疾病（恶心、腹泻等）也开始了。像流感这样的疾病很不可能突然同时开始，但却是共同的标准。	0
这样的送餐速度，饿死两遍了	0
环境干净卫生，味道和铁路局的一样好吃。团的便宜两元挺不错的	1
真的是物美价廉，常来吃，值得推荐	1
口味金麦隆蛋糕店的脆皮泡芙，泡芙是当天新烤出来的的，奶油也很新鲜，吃起来口感特别好，已经回购好多次了，专门从宏大广场坐车跑到和田街，去买他们家的泡芙，每次都买四十五十个，今天买了个，店家还给多送了两个环境店内收拾的干净整洁。服务服务不错，三个小哥哥开的。等位不需要等位。	1
第二次来了，味道超级棒	1
